종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"098460","고영","KOSDAQ","우량기업부","20050","-500","-2.43","20100","20450","19750","847782","16923778490","1376527837750","68654755"
"035290","골드앤에스","KOSDAQ","관리종목(소속부없음)","1305","0","0.00","0","0","0","0","0","47272202550","36223910"
"038530","골드퍼시픽","KOSDAQ","중견기업부","1125","-15","-1.32","1120","1160","1115","509845","577883870","93675970125","83267529"
"900280","골든센츄리","KOSDAQ","외국기업(소속부없음)","378","-7","-1.82","390","392","372","2032191","773909274","66744817398","176573591"
"215000","골프존","KOSDAQ","우량기업부","179900","-3100","-1.69","181400","181400","175100","49215","8765549200","1128947158500","6275415"
"121440","골프존뉴딘홀딩스","KOSDAQ","중견기업부","8400","-80","-0.94","8400","8600","8320","66846","560963490","359829271200","42836818"
"183410","골프존데카","KONEX","일반기업부","2585","70","2.78","2740","2740","2585","21173","54872650","10627351185","4111161"
"076340","관악산업","KONEX","일반기업부","7750","-200","-2.52","7800","7940","7750","101","786240","37753815000","4871460"
"009290","광동제약","KOSPI",,"7010","-90","-1.27","7070","7120","6980","31456","221298630","367470165510","52420851"
"014200","광림","KOSDAQ","중견기업부","1830","0","0.00","1800","1845","1800","226761","413103860","137691685140","75241358"
"017040","광명전기","KOSPI",,"2425","-45","-1.82","2465","2470","2415","142603","346914320","105093716375","43337615"
"017900","광전자","KOSPI",,"3115","-80","-2.50","3170","3180","3060","272151","845390220","180494821745","57943763"
"037710","광주신세계","KOSPI",,"172000","-1000","-0.58","172500","173500","170000","311","53126000","275200000000","1600000"
"026910","광진실업","KOSDAQ","중견기업부","5280","-10","-0.19","5270","5490","5120","244181","1293099400","33820538400","6405405"
"090150","광진윈텍","KOSDAQ","중견기업부","3055","-145","-4.53","3210","3270","3025","802200","2488846060","103978611360","34035552"
"355150","교보10호스팩","KOSDAQ","SPAC(소속부없음)","2130","-10","-0.47","2135","2150","2125","11065","23595395","11331600000","5320000"
"397880","교보11호스팩","KOSDAQ","SPAC(소속부없음)","2155","0","0.00","2155","2175","2150","172734","372945010","9568200000","4440000"
"331520","교보9호스팩","KOSDAQ","SPAC(소속부없음)","2130","15","0.71","2115","2150","2115","2734","5830925","8264400000","3880000"
"030610","교보증권","KOSPI",,"7990","0","0.00","7950","7990","7910","31920","253752820","516579835040","64653296"
"339770","교촌에프앤비","KOSPI",,"15200","-50","-0.33","15200","15250","15000","32745","495097250","379734608000","24982540"
"053270","구영테크","KOSDAQ","중견기업부","3135","-85","-2.64","3210","3215","3135","216046","683639820","82745735490","26394174"
"007690","국도화학","KOSPI",,"58600","-2700","-4.40","60800","61000","58300","62771","3726042700","528022097600","9010616"
"005320","국동","KOSPI",,"2345","-30","-1.26","2355","2410","2340","242343","574089815","128888178720","54962976"
"001140","국보","KOSPI",,"1755","40","2.33","1755","1805","1725","1915139","3399084200","114792319395","65408729"
"066620","국보디자인","KOSDAQ","우량기업부","20150","-450","-2.18","20600","20750","20150","17089","347194450","151125000000","7500000"
"043650","국순당","KOSDAQ","우량기업부","9930","-520","-4.98","10300","10350","9880","292560","2942165680","177332958720","17858304"
"006050","국영지앤엠","KOSDAQ","중견기업부","1715","-20","-1.15","1725","1760","1710","111864","193392445","59845341745","34895243"
"060480","국일신동","KOSDAQ","중견기업부","3675","-40","-1.08","3715","3815","3675","21289","79157130","40755750000","11090000"
"078130","국일제지","KOSDAQ","중견기업부","3865","-35","-0.90","3875","3920","3840","434829","1683173335","493241533145","127617473"
"307750","국전약품","KOSDAQ","우량기업부","9690","-210","-2.12","9830","10050","9650","465888","4555068030","475481216610","49069269"
"002720","국제약품","KOSPI",,"5430","80","1.50","5350","5430","5290","49409","263730770","104669168700","19276090"
"243870","굿센","KONEX","일반기업부","17150","50","0.29","17150","17150","17150","30","514500","44312255750","2583805"
"204020","그리티","KOSDAQ","중견기업부","2770","80","2.97","2705","2940","2690","1398036","3974640235","55808381100","20147430"
"083420","그린케미칼","KOSPI",,"8590","-150","-1.72","8800","8800","8550","42068","363700420","206160000000","24000000"
"186230","그린플러스","KOSDAQ","벤처기업부","14900","-200","-1.32","15100","15150","14850","34611","519806650","161220801200","10820188"
"014530","극동유화","KOSPI",,"4030","-50","-1.23","4040","4090","4010","416872","1682248350","140523762600","34869420"
"900070","글로벌에스엠","KOSDAQ","외국기업(소속부없음)","1075","-10","-0.92","1075","1090","1060","201522","215746835","57774765600","53743968"
"204620","글로벌텍스프리","KOSDAQ","중견기업부","2910","-25","-0.85","2935","2950","2870","94357","275005085","141823770810","48736691"
"019660","글로본","KOSDAQ","중견기업부","2535","15","0.60","2555","2590","2450","105564","262942675","83430013680","32911248"
"014280","금강공업","KOSPI",,"7800","-10","-0.13","7810","8010","7760","70431","551635840","228768984600","29329357"
"014285","금강공업우","KOSPI",,"14400","600","4.35","14000","14750","14000","26154","378509500","8494200000","589875"
"053260","금강철강","KOSDAQ","우량기업부","5180","-190","-3.54","5340","5420","5160","90678","476970180","96969600000","18720000"
"008870","금비","KOSPI",,"61500","-200","-0.32","61700","61900","61200","407","25107800","61500000000","1000000"
"001570","금양","KOSPI",,"5430","-570","-9.50","6000","6000","5370","1895150","10604356580","265016601720","48806004"
"002990","금호건설","KOSPI",,"10500","-250","-2.33","10800","10800","10450","119433","1263622200","384656202000","36633924"
"002995","금호건설우","KOSPI",,"31950","1900","6.32","30100","32500","30100","1945","62058200","9337898700","292266"
"011780","금호석유","KOSPI",,"159500","-4500","-2.74","161000","163000","158000","177899","28438245000","4832187118000","30295844"
